experiment,answer_file,provider,model_name,setting,generated_answers,total_questions,answer_correct_count,answer_accuracy,answer_score_points,answer_score,citation_correct_count,citation_evaluated_count,citation_accuracy,citation_score_points,citation_score,hallucination_count,hallucination_rate,refusal_correct_count,unanswerable_evaluated_count,refusal_accuracy,false_answer_count,false_answer_rate,unsupported_citation_count,unsupported_citation_rate
gpt-4.1-mini,data/hotpotqa_vector_gpt41mini_first20_answers_raw.csv,openai,gpt-4.1-mini,strict_citation_rag,20,20,11,55.0%,11.5,57.5%,11,15,73.3%,12,80.0%,2,10.0%,0,0,n/a,0,n/a,0,n/a
gpt-4.1,data/hotpotqa_vector_gpt41_first20_answers_raw.csv,openai,gpt-4.1,strict_citation_rag,20,20,11,55.0%,11,55.0%,7,12,58.3%,9.5,79.2%,0,0.0%,0,0,n/a,0,n/a,0,n/a
claude-sonnet-4-5,data/hotpotqa_vector_claude_first20_answers_raw.csv,anthropic,claude-sonnet-4-5,strict_citation_rag,20,20,11,55.0%,12,60.0%,11,20,55.0%,15.5,77.5%,0,0.0%,0,0,n/a,0,n/a,0,n/a
gemini-2.5-flash,data/hotpotqa_vector_gemini_first20_answers_raw.csv,gemini,gemini-2.5-flash,strict_citation_rag,20,20,10,50.0%,10,50.0%,3,13,23.1%,3.5,26.9%,1,5.0%,0,0,n/a,0,n/a,0,n/a
